net,length_um
_0650_,14.52
fifo1.mem\[1\]\[8\],14.52
_1778_,14.48
_0130_,14.475
_1267_,14.46
net300,14.44
fifo1.mem\[6\]\[1\],14.385
regis.internal_parity\[6\],14.36
_1329_,14.34
_1641_,14.34
_1802_,14.34
fifo2.mem\[11\]\[3\],14.34
_1385_,14.32
fifo3.mem\[15\]\[4\],14.32
fifo1.mem\[12\]\[8\],14.3
fifo1.mem\[1\]\[3\],14.3
fifo1.mem\[4\]\[3\],14.3
_0295_,14.225
_0635_,14.22
_0287_,14.205
_2022_,14.2
fifo1.mem\[0\]\[1\],14.2
net172,14.2
_0908_,14.18
_1265_,14.18
_0314_,14.175
_1715_,14.17
_1785_,14.16
_0592_,14.145
net331,14.14
_1078_,14.125
fifo1.mem\[11\]\[5\],14.12
fifo1.mem\[8\]\[0\],14.06
_0268_,14.04
net139,14.04
_1919_,14.02
_1044_,14
_1914_,14
fifo3.mem\[0\]\[5\],14
fifo3.mem\[6\]\[1\],13.985
_0388_,13.965
_0982_,13.96
_1167_,13.96
fifo2.mem\[12\]\[2\],13.96
_1328_,13.94
fifo2.mem\[2\]\[5\],13.94
_2049_,13.92
_1081_,13.9
_0714_,13.88
fifo2.mem\[0\]\[4\],13.88
_1002_,13.86
fifo1.mem\[3\]\[0\],13.84
_1887_,13.8
_0593_,13.765
_0230_,13.725
fifo3.mem\[0\]\[8\],13.72
fifo3.mem\[11\]\[8\],13.72
net197,13.72
_0865_,13.71
_1443_,13.68
net53,13.66
_1840_,13.64
_1940_,13.64
fifo1.mem\[11\]\[4\],13.62
fifo2.mem\[12\]\[1\],13.62
_0187_,13.605
_0662_,13.58
_1507_,13.56
_1689_,13.56
net230,13.54
_1766_,13.525
_1236_,13.5
_1717_,13.5
_1900_,13.5
fifo1.mem\[2\]\[4\],13.5
fifo2.mem\[13\]\[5\],13.5
_1837_,13.48
fifo1.mem\[14\]\[3\],13.48
_1921_,13.46
net69,13.46
fifo1.mem\[2\]\[0\],13.425
_1621_,13.42
_1627_,13.42
net72,13.42
_1357_,13.4
_0611_,13.38
_0708_,13.38
_0641_,13.375
_0585_,13.365
_1165_,13.36
fifo2.mem\[1\]\[1\],13.34
fifo3.mem\[14\]\[6\],13.34
_1015_,13.32
fifo1.mem\[6\]\[7\],13.31
_1955_,13.3
fifo1.mem\[15\]\[7\],13.3
net245,13.3
_0349_,13.265
fifo1.mem\[13\]\[5\],13.26
_1297_,13.24
net335,13.24
fifo3.mem\[4\]\[8\],13.22
fifo3.mem\[5\]\[8\],13.22
_0177_,13.205
fifo1.mem\[14\]\[2\],13.16
fifo2.mem\[2\]\[4\],13.16
_0664_,13.14
_1894_,13.14
_0197_,13.125
fifo2.mem\[14\]\[5\],13.12
_0890_,13.1
_0696_,13.095
_0792_,13.08
_1988_,13.08
fifo3.mem\[6\]\[4\],13.08
net189,13.08
_1968_,13.06
net345,13.06
_1305_,13.04
_1563_,13.04
_1638_,13.04
_1896_,13.04
_1057_,13.02
_1427_,13.02
fifo2.mem\[12\]\[8\],13.02
fifo2.mem\[9\]\[1\],13.02
fifo1.mem\[10\]\[4\],13
_1535_,12.98
net274,12.96
fifo2.mem\[15\]\[6\],12.94
fifo3.mem\[9\]\[6\],12.94
_0205_,12.925
_2061_,12.92
_1062_,12.9
fifo1.mem\[8\]\[1\],12.9
_1688_,12.88
fifo3.mem\[9\]\[1\],12.88
fifo2.mem\[4\]\[6\],12.84
fifo1.mem\[5\]\[8\],12.82
net111,12.82
_0931_,12.815
fifo1.data_in\[6\],12.8
fifo3.mem\[11\]\[1\],12.8
fifo1.mem\[1\]\[5\],12.78
_0824_,12.765
_1652_,12.76
fifo3.mem\[1\]\[3\],12.76
_1067_,12.74
_1794_,12.74
fifo3.mem\[7\]\[5\],12.74
_1353_,12.72
_0912_,12.7
_1410_,12.7
_1718_,12.7
_0348_,12.685
_0032_,12.665
_0583_,12.665
_0653_,12.66
fifo1.mem\[3\]\[5\],12.66
fifo1.mem\[7\]\[0\],12.66
regis.fifo_full_state\[6\],12.66
_1834_,12.64
fifo1.mem\[3\]\[7\],12.64
net145,12.64
_0215_,12.625
fifo2.mem\[0\]\[5\],12.62
net279,12.6
_0371_,12.585
_0720_,12.58
_0887_,12.58
_1654_,12.58
_1957_,12.58
fifo1.mem\[6\]\[0\],12.565
fifo3.mem\[14\]\[0\],12.545
_0059_,12.525
_0677_,12.52
_1136_,12.52
_1662_,12.52
fifo3.mem\[4\]\[1\],12.52
net116,12.52
_1440_,12.51
_0194_,12.505
_1356_,12.5
fifo1.mem\[4\]\[2\],12.5
_0801_,12.48
fifo2.mem\[4\]\[0\],12.46
fifo3.mem\[3\]\[4\],12.46
net304,12.42
_0035_,12.405
_1601_,12.38
_1795_,12.38
net243,12.38
fifo1.mem\[2\]\[7\],12.345
fifo3.mem\[15\]\[3\],12.34
fifo1.mem\[6\]\[8\],12.32
_1743_,12.3
fifo2.mem\[13\]\[4\],12.3
_0951_,12.26
_1386_,12.26
_1704_,12.26
fifo2.mem\[15\]\[4\],12.24
fifo2.mem\[5\]\[2\],12.24
fifo3.mem\[3\]\[8\],12.24
_0030_,12.205
_1528_,12.2
fifo1.mem\[0\]\[8\],12.2
net182,12.2
_0602_,12.185
_2017_,12.18
_1166_,12.16
fifo1.mem\[4\]\[8\],12.14
fifo1.mem\[7\]\[2\],12.14
_1146_,12.12
fifo1.mem\[13\]\[6\],12.12
fifo1.mem\[11\]\[7\],12.1
fifo1.mem\[5\]\[5\],12.1
_0451_,12.085
_0651_,12.08
_1848_,12.06
net234,12.06
_0331_,12.045
fifo2.mem\[6\]\[0\],12.045
_1986_,12.04
fifo1.mem\[4\]\[5\],12.04
fifo3.mem\[1\]\[0\],12.04
fifo3.mem\[4\]\[7\],12.04
_0261_,12.025
_0251_,12
_2039_,11.96
fifo3.mem\[11\]\[3\],11.96
_0893_,11.95
_0301_,11.945
net324,11.94
_1007_,11.92
_1622_,11.92
net260,11.92
_1552_,11.88
fifo1.mem\[8\]\[4\],11.88
fifo3.mem\[0\]\[3\],11.88
net60,11.88
_0588_,11.865
_1546_,11.86
fifo2.mem\[12\]\[0\],11.86
_1224_,11.84
net166,11.84
_1381_,11.82
read_enb_1,11.82
read_enb_2,11.82
fifo2.mem\[13\]\[8\],11.8
_1468_,11.78
_2006_,11.78
fifo2.mem\[11\]\[4\],11.78
net133,11.78
_0414_,11.745
_1473_,11.74
fifo3.mem\[9\]\[2\],11.74
_0877_,11.72
_0909_,11.7
_2055_,11.7
regis.fifo_full_state\[5\],11.7
net340,11.7
_1289_,11.68
_1512_,11.68
_1726_,11.68
net74,11.68
net296,11.68
_1064_,11.66
_1843_,11.66
net18,11.66
net100,11.66
net147,11.64
_1366_,11.63
_0346_,11.625
_1332_,11.62
fifo3.mem\[5\]\[7\],11.62
net94,11.62
_2027_,11.6
_0578_,11.585
fifo2.mem\[2\]\[7\],11.585
_0661_,11.58
fifo2.mem\[0\]\[8\],11.58
fifo3.mem\[0\]\[6\],11.58
fifo1.rd_pointer\[0\],11.56
_0276_,11.545
_1241_,11.54
_0596_,11.52
_2042_,11.5
fifo2.mem\[3\]\[1\],11.5
net207,11.5
_0551_,11.485
_0274_,11.48
net333,11.48
_1335_,11.46
_1157_,11.455
_1516_,11.44
net131,11.44
_1659_,11.4
_1406_,11.38
_2066_,11.38
_0220_,11.365
_0493_,11.365
_1423_,11.36
_2059_,11.36
net307,11.36
_0364_,11.345
_1628_,11.32
fifo1.mem\[3\]\[3\],11.32
_0885_,11.3
net109,11.3
_0554_,11.285
_0705_,11.28
_2080_,11.28
fifo1.mem\[10\]\[8\],11.28
fifo2.mem\[6\]\[7\],11.265
_1363_,11.26
fifo1.mem\[3\]\[2\],11.26
fifo1.mem\[3\]\[8\],11.26
fifo3.mem\[4\]\[6\],11.26
_0470_,11.245
_0889_,11.24
_1470_,11.24
_1543_,11.22
_1736_,11.18
fifo2.count\[6\],11.175
_0214_,11.165
_0689_,11.16
fifo2.mem\[11\]\[0\],11.16
fifo1.mem\[7\]\[1\],11.14
net312,11.14
_0559_,11.125
_1240_,11.12
net177,11.12
_1686_,11.08
net215,11.08
net299,11.08
net328,11.08
_0683_,11.06
fifo1.mem\[13\]\[3\],11.04
_0587_,10.995
net214,10.99
fifo1.mem\[0\]\[4\],10.96
fifo2.mem\[12\]\[5\],10.96
fifo2.mem\[3\]\[4\],10.96
fifo3.mem\[6\]\[2\],10.96
_0078_,10.945
_0615_,10.92
_0704_,10.9
net51,10.9
_0037_,10.885
_0614_,10.88
_1171_,10.88
_1228_,10.88
fifo2.mem\[15\]\[5\],10.88
_1352_,10.86
fifo1.mem\[10\]\[0\],10.86
fifo1.mem\[10\]\[6\],10.86
fifo3.mem\[5\]\[6\],10.85
_1505_,10.84
fifo3.mem\[15\]\[1\],10.84
_0445_,10.825
_1698_,10.82
_0204_,10.785
fifo3.mem\[6\]\[8\],10.785
_0952_,10.78
_1793_,10.78
_1797_,10.78
_1852_,10.78
_1876_,10.78
_1960_,10.78
regis.fifo_full_state\[3\],10.78
net209,10.78
_1452_,10.76
net58,10.76
fifo2.mem\[2\]\[8\],10.745
_0612_,10.74
fifo1.mem\[12\]\[2\],10.74
fifo3.mem\[6\]\[7\],10.74
_0911_,10.72
_0919_,10.72
_1129_,10.7
_1496_,10.7
_1614_,10.7
_1728_,10.7
_1987_,10.7
net277,10.7
_0359_,10.68
_1682_,10.68
fifo2.mem\[13\]\[2\],10.64
fifo1.mem\[12\]\[6\],10.62
_0062_,10.605
_0367_,10.6
_1589_,10.6
_1695_,10.6
_0366_,10.565
_1639_,10.56
_1573_,10.54
net160,10.54
fifo2.mem\[3\]\[3\],10.5
fifo3.mem\[6\]\[3\],10.5
_0475_,10.485
net291,10.48
_1519_,10.46
_1796_,10.46
net211,10.46
net271,10.46
_0283_,10.425
_1197_,10.42
_1415_,10.42
fifo1.count\[6\],10.42
_0793_,10.4
_1112_,10.4
_1358_,10.4
net348,10.4
_0980_,10.38
_1310_,10.38
_0278_,10.365
_0398_,10.365
_0886_,10.36
_1397_,10.34
_0297_,10.325
_0413_,10.325
_1786_,10.32
fifo3.mem\[13\]\[5\],10.32
net107,10.32
net93,10.3
fifo3.mem\[14\]\[1\],10.285
_1829_,10.28
net237,10.28
_0403_,10.26
fifo1.mem\[3\]\[4\],10.26
fifo3.mem\[1\]\[1\],10.26
fifo3.mem\[2\]\[6\],10.26
_0293_,10.245
_1054_,10.22
fifo2.mem\[12\]\[7\],10.22
fifo1.mem\[13\]\[0\],10.2
net233,10.2
net276,10.2
net283,10.18
_0861_,10.17
_0320_,10.165
_1170_,10.16
_1929_,10.16
fifo1.mem\[0\]\[3\],10.16
net268,10.16
_0213_,10.145
_0243_,10.145
_0947_,10.14
_1694_,10.12
_0043_,10.105
_0081_,10.105
_0306_,10.105
_0564_,10.105
_0679_,10.1
_0814_,10.08
_0897_,10.08
fifo3.mem\[15\]\[8\],10.08
_0186_,10.065
_0256_,10.045
fifo1.mem\[12\]\[3\],10.04
fifo3.mem\[11\]\[6\],10.04
fifo3.mem\[2\]\[8\],10.04
fifo3.mem\[1\]\[4\],10.02
_0623_,9.98
_1083_,9.96
_0135_,9.945
_0965_,9.94
fifo1.mem\[5\]\[6\],9.94
fifo2.mem\[5\]\[7\],9.94
fifo3.mem\[2\]\[2\],9.94
fifo3.mem\[3\]\[1\],9.94
_0034_,9.905
_0246_,9.905
_0319_,9.905
_0329_,9.905
_1611_,9.9
_0298_,9.885
fifo3.mem\[7\]\[2\],9.88
net91,9.88
_0053_,9.865
_0232_,9.865
_0321_,9.865
fifo1.mem\[14\]\[1\],9.865
_1602_,9.86
fifo1.mem\[1\]\[4\],9.86
fifo2.mem\[1\]\[6\],9.86
fifo3.mem\[15\]\[0\],9.86
_0025_,9.845
_0400_,9.845
_0377_,9.825
fifo2.mem\[11\]\[7\],9.82
_0345_,9.805
_1741_,9.78
fifo3.mem\[4\]\[2\],9.78
_0638_,9.74
_0629_,9.72
_1526_,9.72
_1723_,9.72
fifo3.mem\[14\]\[7\],9.705
_0644_,9.7
_1635_,9.7
_2034_,9.7
fifo3.mem\[10\]\[5\],9.7
fifo3.mem\[8\]\[7\],9.7
fifo1.mem\[10\]\[1\],9.68
fifo2.mem\[12\]\[3\],9.66
_0399_,9.645
_0530_,9.645
_1734_,9.64
_1871_,9.64
data_out_0[0],9.64
data_out_0[7],9.64
data_out_1[0],9.64
data_out_2[2],9.64
net319,9.64
net320,9.64
_0702_,9.6
fifo3.mem\[14\]\[4\],9.58
_1355_,9.54
_1455_,9.52
_1575_,9.52
_1984_,9.52
_2088_,9.52
read_enb_0,9.52
net191,9.52
_1161_,9.5
net201,9.5
_0549_,9.48
_1147_,9.48
_1331_,9.48
_1469_,9.48
_1954_,9.48
_0189_,9.465
_0257_,9.465
_0397_,9.465
_0562_,9.465
_1394_,9.46
_0203_,9.445
_0332_,9.445
_0500_,9.44
_0891_,9.44
_1206_,9.44
_1678_,9.44
fifo2.mem\[3\]\[0\],9.44
_1673_,9.42
_1790_,9.42
_1604_,9.4
_1671_,9.4
_1872_,9.4
_1943_,9.4
fifo2.mem\[11\]\[5\],9.4
fifo3.mem\[6\]\[5\],9.4
fifo3.mem\[6\]\[6\],9.4
_1033_,9.38
net343,9.37
_1010_,9.36
fifo1.wr_pointer\[3\],9.36
regis.fifo_full_state\[0\],9.36
net32,9.36
net132,9.36
_1889_,9.34
_0489_,9.325
_1309_,9.32
fifo1.mem\[13\]\[4\],9.32
_0419_,9.3
_0521_,9.3
_0544_,9.3
_1713_,9.3
net278,9.3
fifo2.mem\[4\]\[7\],9.28
net261,9.28
_0946_,9.24
_1697_,9.24
fifo1.mem\[8\]\[2\],9.24
fifo2.mem\[12\]\[4\],9.24
fifo3.mem\[1\]\[6\],9.24
_0555_,9.225
_0570_,9.22
_1869_,9.2
_0040_,9.185
_1030_,9.18
net257,9.18
_0950_,9.16
_1271_,9.16
_0406_,9.145
_0807_,9.14
_0935_,9.14
fifo3.mem\[2\]\[5\],9.14
_0179_,9.125
_0242_,9.125
_0411_,9.125
_1744_,9.12
_1393_,9.1
regis.fifo_full_state\[2\],9.08
net280,9.08
_1396_,9.06
net86,9.06
net225,9.06
_2030_,9.04
net149,9.04
_1533_,9.02
fifo1.data_in\[1\],9.02
fifo1.mem\[9\]\[5\],9.02
fifo3.mem\[13\]\[3\],9.02
net128,9.02
_0166_,8.985
_0250_,8.985
_0327_,8.985
_2033_,8.98
fifo1.mem\[0\]\[7\],8.98
_1292_,8.96
_2057_,8.96
data_out_2[1],8.96
data_out_2[4],8.96
net164,8.96
_0393_,8.945
_0607_,8.94
_1145_,8.94
_1254_,8.94
_1517_,8.94
_1555_,8.94
net21,8.94
data_out_0[3],8.93
_0632_,8.92
_1374_,8.92
_1290_,8.9
_1378_,8.9
_1500_,8.9
_2083_,8.9
fifo2.mem\[14\]\[6\],8.88
_0979_,8.86
_1261_,8.84
data_in[0],8.84
data_in[4],8.84
_1333_,8.82
_1564_,8.82
fifo2.mem\[4\]\[8\],8.82
net321,8.82
_0322_,8.8
_0323_,8.8
_0430_,8.785
_0977_,8.78
_1034_,8.78
_1680_,8.78
_2064_,8.78
fifo1.mem\[11\]\[2\],8.78
fifo1.mem\[2\]\[2\],8.78
fifo1.mem\[3\]\[1\],8.78
fifo3.mem\[10\]\[3\],8.78
_0036_,8.765
_0497_,8.765
_0387_,8.76
net85,8.74
net281,8.74
net308,8.74
_0192_,8.725
_1087_,8.72
_1656_,8.72
busy,8.72
data_in[6],8.72
data_in[7],8.72
data_out_1[3],8.72
data_out_1[7],8.72
resetn,8.72
net346,8.72
net199,8.71
_0169_,8.7
fifo3.mem\[9\]\[3\],8.7
_0290_,8.685
_1405_,8.68
_1675_,8.68
_1701_,8.68
_0808_,8.66
_1308_,8.63
_0302_,8.625
_1767_,8.62
_0092_,8.605
_1174_,8.6
_1977_,8.6
net188,8.6
net286,8.6
_0710_,8.58
_1499_,8.58
net63,8.58
net287,8.58
_1099_,8.575
_1031_,8.56
_1072_,8.56
_1133_,8.56
_1859_,8.56
fifo3.mem\[11\]\[0\],8.56
net78,8.56
fifo1.mem\[5\]\[2\],8.54
_0247_,8.525
_0382_,8.525
_0410_,8.525
_0508_,8.525
_0622_,8.52
_0672_,8.52
_0970_,8.52
_1951_,8.52
fifo1.mem\[14\]\[4\],8.52
_1231_,8.5
_0581_,8.485
_0953_,8.48
_1484_,8.48
fifo1.mem\[13\]\[2\],8.48
net16,8.48
net196,8.48
net309,8.48
fifo1.mem\[6\]\[6\],8.47
_0330_,8.445
_1045_,8.44
_1074_,8.44
_2065_,8.44
fifo1.mem\[1\]\[1\],8.44
_1012_,8.42
_1219_,8.42
_1475_,8.42
_0409_,8.405
_0586_,8.405
fifo2.mem\[10\]\[6\],8.405
_1910_,8.4
_1931_,8.4
_0369_,8.38
_1061_,8.38
_0049_,8.365
_0876_,8.36
net315,8.36
_0161_,8.34
fifo3.mem\[10\]\[7\],8.34
fifo1.mem\[11\]\[8\],8.32
fifo2.mem\[13\]\[3\],8.32
fifo2.mem\[3\]\[6\],8.32
fifo2.mem\[8\]\[7\],8.32
net248,8.32
_0584_,8.305
_0165_,8.285
_0334_,8.285
net20,8.26
net28,8.26
net227,8.26
_1021_,8.24
fifo1.mem\[10\]\[2\],8.24
fifo2.mem\[4\]\[4\],8.24
fifo3.mem\[3\]\[6\],8.22
fifo1.mem\[7\]\[8\],8.21
_0131_,8.205
_0561_,8.205
_1086_,8.2
fifo2.mem\[4\]\[5\],8.2
_0510_,8.165
_1354_,8.16
net143,8.16
_0148_,8.145
_0565_,8.145
_1242_,8.14
_1262_,8.14
_1398_,8.14
_1746_,8.14
fifo2.mem\[14\]\[8\],8.14
net55,8.14
net59,8.14
net118,8.14
net255,8.14
_0401_,8.125
net323,8.12
_0646_,8.1
_1709_,8.1
_1730_,8.1
_1810_,8.1
_1901_,8.1
fifo2.mem\[13\]\[1\],8.1
net83,8.1
net176,8.1
_0191_,8.065
_0444_,8.065
_0600_,8.065
_0845_,8.06
_0849_,8.06
_1003_,8.06
_1471_,8.06
_1735_,8.06
_1585_,8.04
data_out_0[4],8.04
data_out_2[5],8.04
error,8.04
_1629_,8.03
_0473_,8.025
_0526_,8.025
fifo1.mem\[2\]\[8\],8.025
_0771_,8.02
_0810_,8.02
_2024_,8.02
fifo3.mem\[0\]\[2\],8.02
net124,8.02
net144,8.02
net161,8.02
fifo1.mem\[8\]\[7\],8
net14,7.98
fifo1.mem\[7\]\[7\],7.97
_1384_,7.945
_1407_,7.94
fifo2.mem\[3\]\[2\],7.94
_0027_,7.92
_0929_,7.92
_1287_,7.92
net332,7.92
_0277_,7.915
fifo2.mem\[9\]\[2\],7.9
_0023_,7.88
_1046_,7.88
_1263_,7.88
_0012_,7.865
fifo1.mem\[8\]\[5\],7.86
_0022_,7.845
_0039_,7.845
_0185_,7.845
_0402_,7.845
_0483_,7.845
_0208_,7.805
net122,7.8
net216,7.8
_0815_,7.78
_0224_,7.745
_0888_,7.74
_1037_,7.74
fifo1.mem\[8\]\[6\],7.74
fifo2.mem\[4\]\[3\],7.74
_0272_,7.735
net210,7.72
net112,7.7
net218,7.7
net270,7.7
_0113_,7.685
_0916_,7.68
_0918_,7.68
_1258_,7.68
_1950_,7.68
fifo1.mem\[10\]\[3\],7.68
net322,7.68
_1408_,7.66
fifo3.mem\[13\]\[6\],7.66
fifo3.mem\[5\]\[2\],7.66
net95,7.66
fifo3.mem\[1\]\[2\],7.655
_0636_,7.64
_0949_,7.64
_1905_,7.64
_2100_,7.64
fifo2.mem\[13\]\[0\],7.64
_0255_,7.625
_0238_,7.62
_0273_,7.605
_0556_,7.605
_0567_,7.605
_1209_,7.6
_1458_,7.6
_1784_,7.6
_2079_,7.6
net140,7.6
_1049_,7.58
net285,7.58
net342,7.58
_0015_,7.565
_1237_,7.56
fifo2.mem\[13\]\[6\],7.56
fifo3.mem\[14\]\[2\],7.56
fifo3.mem\[9\]\[5\],7.56
net115,7.56
net119,7.56
net180,7.56
net247,7.56
_0429_,7.545
_0153_,7.54
_0300_,7.535
_0441_,7.525
_1051_,7.52
_2002_,7.52
net35,7.52
net240,7.52
_0240_,7.485
_1019_,7.48
_1633_,7.48
_2099_,7.46
fifo2.mem\[14\]\[3\],7.46
net84,7.46
_1342_,7.44
_0182_,7.42
_1239_,7.42
_2071_,7.42
_2097_,7.42
_1584_,7.4
fifo1.mem\[5\]\[3\],7.4
_0101_,7.385
_0355_,7.385
_0563_,7.365
_0881_,7.36
net57,7.36
_0207_,7.345
_0216_,7.345
_0504_,7.345
_0550_,7.345
net284,7.32
_0456_,7.305
_0560_,7.305
_1252_,7.3
_1201_,7.28
fifo1.mem\[12\]\[4\],7.28
fifo2.mem\[7\]\[2\],7.28
_0420_,7.265
_1151_,7.26
_1666_,7.24
net208,7.24
_0896_,7.22
net65,7.22
net134,7.22
_1275_,7.2
_1298_,7.18
_1549_,7.18
_1740_,7.18
net259,7.18
_1439_,7.17
_1732_,7.17
_0133_,7.145
_0206_,7.145
_0312_,7.145
_0357_,7.145
_0907_,7.14
_1761_,7.14
net256,7.12
net290,7.12
net327,7.115
_0085_,7.105
_0552_,7.105
_1377_,7.1
_1664_,7.1
_1752_,7.1
_2076_,7.1
fifo1.mem\[2\]\[6\],7.1
fifo3.rd_pointer\[0\],7.1
net127,7.1
net223,7.1
_0531_,7.09
_1283_,7.08
fifo3.mem\[8\]\[5\],7.08
_0655_,7.06
_0666_,7.06
_0984_,7.06
_1065_,7.06
_1351_,7.06
_1497_,7.06
_1610_,7.06
_1011_,7.04
_0013_,7.025
_0482_,7.025
_0525_,7.02
_0315_,7
_0621_,7
_1229_,7
_1559_,6.98
_1742_,6.98
_2090_,6.98
fifo1.mem\[1\]\[6\],6.98
fifo1.mem\[3\]\[6\],6.98
net162,6.98
_0077_,6.96
_0106_,6.96
fifo3.mem\[14\]\[8\],6.945
_1205_,6.94
_1327_,6.94
fifo1.mem\[1\]\[0\],6.94
fifo1.mem\[8\]\[3\],6.94
_0362_,6.935
_0304_,6.925
_0408_,6.925
_1949_,6.9
_2062_,6.86
net150,6.86
_0265_,6.79
_0848_,6.78
net108,6.78
net126,6.78
net170,6.78
net178,6.78
net195,6.78
net204,6.78
net235,6.78
net288,6.78
_0184_,6.765
_0795_,6.76
_0964_,6.76
_1018_,6.76
_1073_,6.76
_1764_,6.76
_2038_,6.76
fifo1.mem\[1\]\[7\],6.76
net71,6.76
net103,6.76
net241,6.76
net311,6.76
_1321_,6.74
_1449_,6.74
_0316_,6.725
_0892_,6.72
_0933_,6.72
_0941_,6.72
_1387_,6.72
_1716_,6.72
_2068_,6.72
fifo2.mem\[14\]\[7\],6.72
net114,6.72
net326,6.72
fifo1.mem\[14\]\[0\],6.71
_0394_,6.685
_0407_,6.685
_0505_,6.685
_0523_,6.685
_0595_,6.685
_1800_,6.68
fifo3.mem\[5\]\[3\],6.68
_0541_,6.67
_1013_,6.66
_1971_,6.66
net329,6.66
_0033_,6.645
_0068_,6.645
_0598_,6.645
_0914_,6.64
_1014_,6.64
_1216_,6.64
_1892_,6.64
_2091_,6.64
fifo3.mem\[3\]\[2\],6.64
net341,6.64
fifo3.mem\[10\]\[6\],6.62
_0819_,6.6
_1400_,6.6
_1770_,6.6
_1938_,6.6
net305,6.6
_0342_,6.565
pkt_valid,6.55
_0120_,6.54
_0121_,6.54
_0383_,6.54
_0569_,6.54
_1874_,6.54
_0381_,6.525
_0817_,6.52
_1411_,6.52
_1595_,6.52
_2023_,6.52
fifo1.rd_pointer\[4\],6.52
fifo2.mem\[3\]\[7\],6.52
_0126_,6.5
_0468_,6.5
regis.fifo_full_state\[7\],6.5
_0139_,6.485
_0280_,6.485
_0057_,6.475
_0253_,6.445
_0566_,6.445
data_in[2],6.43
data_out_1[6],6.43
_0269_,6.425
_0395_,6.425
_1401_,6.4
net249,6.38
_0052_,6.365
_0086_,6.365
_0087_,6.365
_0151_,6.365
_0226_,6.365
_0333_,6.365
_0094_,6.325
_0465_,6.325
_1454_,6.32
net338,6.32
_0923_,6.3
_1763_,6.3
net52,6.3
net99,6.3
net106,6.3
net183,6.3
net222,6.3
net273,6.3
net310,6.3
_1294_,6.28
_1818_,6.28
fifo3.mem\[4\]\[4\],6.28
net263,6.27
_0069_,6.265
_1017_,6.26
_1724_,6.26
_1990_,6.26
_2021_,6.26
fifo1.mem\[14\]\[6\],6.26
_0093_,6.225
_0352_,6.225
_0379_,6.225
_0418_,6.225
_0480_,6.225
_0512_,6.225
_0553_,6.225
data_out_0[1],6.21
data_out_0[6],6.21
_0904_,6.2
_1052_,6.2
fifo3.mem\[4\]\[5\],6.2
net251,6.2
_0351_,6.185
_0343_,6.18
_1626_,6.18
_1777_,6.18
fifo2.mem\[13\]\[7\],6.18
fifo3.mem\[8\]\[4\],6.18
net181,6.18
net200,6.18
_0286_,6.16
_1737_,6.16
fifo1.mem\[5\]\[4\],6.16
fifo1.mem\[14\]\[8\],6.145
_0019_,6.14
_0697_,6.14
_1063_,6.14
_1311_,6.14
_1391_,6.14
fifo3.mem\[9\]\[0\],6.14
net23,6.14
net77,6.14
fifo3.mem\[5\]\[4\],6.12
_0225_,6.105
_0443_,6.1
_0423_,6.08
_1493_,6.08
_1574_,6.08
_0435_,6.065
_0901_,6.06
_1338_,6.06
fifo2.mem\[3\]\[8\],6.06
_0479_,6.04
_0095_,6.025
_0173_,6.025
_0289_,6.025
_0292_,6.025
_0326_,6.025
_0601_,6.025
_1787_,6.02
_0080_,6.005
_0219_,6.005
_0540_,6.005
_0044_,5.985
_0542_,5.985
net102,5.98
net123,5.98
net173,5.98
net262,5.98
net267,5.98
net293,5.98
_0158_,5.965
_0227_,5.965
_0070_,5.96
_1100_,5.96
_1124_,5.96
_0390_,5.945
_0252_,5.94
_1163_,5.94
fifo2.mem\[11\]\[8\],5.94
net226,5.94
_1312_,5.92
_0072_,5.905
_0524_,5.905
_0604_,5.905
_0236_,5.865
_0547_,5.865
_1116_,5.86
_1521_,5.86
_1821_,5.86
_1979_,5.86
fifo3.mem\[13\]\[4\],5.86
_0997_,5.84
_1000_,5.84
_1186_,5.84
_1459_,5.84
_1765_,5.84
_1897_,5.84
net104,5.84
net117,5.84
_0639_,5.82
_1134_,5.82
_1278_,5.82
_0128_,5.805
_0267_,5.8
_0643_,5.8
_0880_,5.8
_1130_,5.8
_1421_,5.8
_1780_,5.8
net167,5.8
net244,5.8
_0196_,5.765
_0239_,5.765
_0308_,5.765
_0384_,5.765
valid_out_2,5.75
_0915_,5.74
_1389_,5.74
_1913_,5.74
_0136_,5.725
_0200_,5.725
_0282_,5.725
_0667_,5.72
_0818_,5.72
net206,5.72
net282,5.72
net318,5.72
_0318_,5.705
_0361_,5.705
_0498_,5.705
_0127_,5.7
_0175_,5.7
_1135_,5.7
_1043_,5.68
_1076_,5.68
_1154_,5.68
_1457_,5.68
net275,5.68
_0211_,5.645
_0506_,5.645
_1388_,5.63
_0421_,5.605
_1511_,5.6
_1885_,5.6
fifo1.mem\[11\]\[6\],5.6
fifo3.mem\[4\]\[3\],5.6
net101,5.6
_0157_,5.58
_0385_,5.58
_0905_,5.58
fifo1.mem\[2\]\[3\],5.56
fifo2.mem\[0\]\[2\],5.56
fifo2.mem\[0\]\[6\],5.56
fifo3.mem\[15\]\[7\],5.56
_0051_,5.545
_0440_,5.545
data_out_1[5],5.53
data_out_2[0],5.53
data_out_2[6],5.53
valid_out_1,5.53
_1792_,5.52
net121,5.52
net157,5.52
net174,5.52
net186,5.52
net187,5.52
net246,5.52
net334,5.52
_0288_,5.505
_0872_,5.48
_1001_,5.48
fifo3.mem\[14\]\[3\],5.44
_0228_,5.435
