net,length_um
clknet_leaf_56_clock,97.285
_1185_,97.14
_1751_,97.14
_0011_,96.84
_1580_,96.52
_0960_,96.48
_0741_,96.14
clknet_leaf_32_clock,96
_0536_,95.975
clknet_leaf_11_clock,95.94
_1096_,95.795
_1775_,95.56
clknet_leaf_61_clock,95.515
_0990_,95.06
_1213_,94.85
fifo2.wr_pointer\[3\],94.56
_0989_,94.34
clknet_leaf_5_clock,94.22
_1195_,94.14
_0833_,94.04
_1418_,93.855
_0753_,93.705
clknet_leaf_39_clock,93.42
_2025_,93.3
fifo2.wr_pointer\[1\],93.08
_1478_,92.84
_1220_,92.695
_0871_,92.48
_1993_,92.44
clknet_leaf_33_clock,91.86
clknet_leaf_10_clock,91.84
_2070_,91.715
_0729_,91.65
_1771_,91.64
clknet_leaf_41_clock,91.56
_0844_,91.44
_0838_,91.045
_1773_,90.28
clknet_leaf_40_clock,90.24
clknet_leaf_55_clock,89.92
_2019_,89.825
_0722_,89.82
_1749_,89.74
_1175_,89.73
_0721_,89.42
_1027_,89.18
_1324_,88.75
_1683_,88.68
_0748_,88.575
_0823_,88.52
_0870_,88.3
clknet_leaf_28_clock,88.24
clknet_leaf_48_clock,87.9
clknet_leaf_43_clock,87.89
_1446_,87.62
_1192_,87.4
clknet_leaf_37_clock,87.03
_0894_,86.5
_0805_,86.4
_1119_,85.935
_0770_,85.88
_1756_,85.48
_0514_,84.965
_2105_,84.78
_1040_,84.72
_0751_,84.5
clknet_leaf_50_clock,84.36
_1572_,84.04
clknet_leaf_19_clock,83.76
_1781_,83.52
fifo1.lfd_state,83.46
_0958_,83.44
_1447_,83.4
_0835_,83.08
_1616_,82.66
_1774_,82.22
_0772_,82.13
_1757_,80.89
_2000_,80.83
clknet_leaf_27_clock,80.76
_1754_,80.64
_1480_,80.595
clknet_leaf_14_clock,80.495
_1623_,80.38
_1544_,80.34
_1554_,80.27
_0831_,80.16
_1700_,80
_1625_,79.52
_1093_,79.44
_0680_,79.38
clknet_leaf_23_clock,79.36
clknet_leaf_58_clock,79.1
clknet_leaf_26_clock,78.84
_1097_,78.54
_1548_,78.37
clknet_leaf_12_clock,78.36
_1181_,78.27
fifo3.mem\[7\]\[0\],77.84
_0681_,77.14
clknet_leaf_22_clock,77.035
_1448_,76.8
_1783_,76.76
_1779_,76.48
_0972_,76.475
_0834_,76.42
_0716_,75.6
_1636_,75.4
_1122_,75.12
_1419_,75
fifo2.mem\[5\]\[1\],74.78
clknet_leaf_51_clock,74.78
_0986_,74.66
fifo3.wr_pointer\[3\],74.54
fsm1.ld_state,74.46
_1705_,74.34
_1824_,74.04
_1947_,74.04
_1111_,73.915
_0001_,72.84
_1965_,72.5
_1609_,72.48
_1508_,72.43
clknet_leaf_42_clock,72.38
_0769_,71.98
_1598_,71.68
_1518_,71.67
_0988_,71.56
_0000_,71.38
fifo2.mem\[5\]\[0\],71.34
fifo1.wr_pointer\[1\],71.22
_1525_,70.74
clknet_leaf_7_clock,70.64
_2072_,70.6
clknet_leaf_6_clock,70.6
clknet_leaf_15_clock,70.24
clknet_leaf_52_clock,70.22
_1373_,70.08
net26,69.62
_1725_,69.44
_1538_,69.1
fifo1.rd_pointer\[1\],68.845
_0778_,68.68
clknet_leaf_29_clock,68.56
_0962_,68.55
_1845_,68.4
clknet_leaf_36_clock,68.28
_0841_,67.94
clknet_leaf_1_clock,67.92
_1160_,67.66
_1817_,67.22
_1450_,67.2
_0782_,67.04
clknet_leaf_30_clock,66.96
_1143_,66.84
fifo1.mem\[6\]\[5\],66.5
_0784_,66.46
_1340_,66.41
_0802_,66.34
_0634_,66.12
net27,66.06
_1941_,65.94
fifo2.wr_pointer\[0\],65.91
_0781_,65.615
_2020_,65.42
_0613_,65.34
fifo3.wr_pointer\[2\],65.02
_1996_,64.72
_0678_,64.19
_0928_,63.84
_1187_,63.24
fifo3.rd_pointer\[1\],63.1
fsm1.laf_state,62.22
_0007_,62.08
_0654_,61.62
_1995_,61.58
_1814_,61.28
_1155_,61.08
_1113_,60.91
_1319_,60.32
_1653_,60.22
_1588_,60.21
_0519_,60.07
_1541_,60.06
_0424_,59.945
_1565_,59.59
fifo3.mem\[2\]\[7\],59.585
_1536_,59.34
fifo3.mem\[7\]\[4\],59.1
_0775_,58.74
_1989_,58.72
_1553_,58.38
_1972_,58.34
clknet_leaf_16_clock,58.24
_1527_,57.92
_1347_,57.62
clknet_leaf_34_clock,57.59
fifo3.mem\[8\]\[0\],57.38
clknet_leaf_60_clock,57.02
fifo2.mem\[10\]\[2\],56.905
_0723_,56.6
_0726_,56.455
fsm1.detect_add,56.36
fifo1.wr_pointer\[0\],55.77
_1998_,55.72
clknet_leaf_25_clock,55.72
_1191_,55.56
_0754_,55.22
clknet_leaf_54_clock,55.1
_2008_,55.08
fifo1.data_in\[7\],54.7
fifo1.mem\[15\]\[4\],54.32
_1672_,54.13
_1924_,53.66
_0633_,53.605
_1369_,53.28
syn.count0\[0\],53.22
fifo1.data_in\[3\],52.94
_0854_,52.7
fifo3.mem\[7\]\[1\],52.52
_1026_,52.36
_0727_,52.06
_1922_,51.8
fifo1.mem\[15\]\[5\],51.63
fifo2.mem\[8\]\[2\],51.5
_1490_,51.36
fifo2.rd_pointer\[2\],50.79
regis.header_byte\[5\],50.715
_0719_,50.71
_1878_,50.62
fsm1.addr\[0\],50.45
_1173_,50.18
net33,49.88
_1349_,49.74
syn.count2\[0\],49.66
_1691_,49.6
_1904_,49.36
clknet_leaf_35_clock,49.36
_0637_,48.98
_1891_,48.76
fifo1.wr_pointer\[4\],48.74
